,tconst,release_date,budget,revenue,genres,original_language,origin_country,production_countries name,spoken_languages name,Profit%
78,tt4142022,2015-01-29,1816720,4541800,Comedy,Italiano,IT,Italy,Italiano,150.0
79,tt4176826,2015-10-08,3196621,25513752,Comedy,Deutsch,DE,Germany,Deutsch,698.15
80,,,5,10, ,, , , ,100.0
81,tt4258292,2015-02-06,7900000,16000000,Thriller,தமிழ்,IN,India,தமிழ்,102.53
82,tt4271820,2015-04-16,940000,5100000,Romance,,IN,India,,442.55
83,tt4276752,2015-12-18,37000000,278300000,Action,普通话,CN,China,普通话,652.16
84,tt4285496,2015-05-25,1400000,1320005,Drama,Català,AR,Argentina,Català,-5.71
85,tt4307968,2015-12-02,450000,1500000,Comedy,Nederlands,NL,Netherlands,Nederlands,233.33
86,tt4337414,2015-01-10,500,100,Comedy,తెలుగు,IN,India,తెలుగు,-80.0
87,tt4337690,2015-09-11,5000000,4842699,Drama,English,US,United States of America,English,-3.15
88,tt4374460,2015-03-06,1379375,105097,Drama,Română,BG,Bulgaria,Română,-92.38
89,tt4374502,2015-11-01,60000,3145, , , , , ,-94.76
90,tt4415068,2015-02-19,2020000,5520000,Comedy,普通话,SG,Singapore,普通话,173.27
91,tt4432480,2015-07-03,490000,5000000,Horror,?????,IN,India,?????,920.41
92,tt4448050,2015-02-01,2000,2000, ,English,US,United States of America,English,0.0
93,tt6946008,,15000,10000, , , , , ,-33.33
94,tt4523112,2015-03-13,500000,500001,Drama,Türkçe,TR,Turkey,Türkçe,0.0
95,tt4527664,2015-04-04,1500,53889,Comedy,English,US,United States of America,English,3492.6
96,tt4557014,2015-03-27,670000,4700000,Comedy,,IN,India,,601.49
97,tt4590218,2015-05-27,100000,100000,Documentary,Español,AR,Argentina,Español,0.0
98,tt4597454,2015-04-10,1974853,3554736, , , , , ,80.0
99,tt4625752,2015-05-07,2400000,3346518,Comedy,Pусский,RU,Russia,Pусский,39.44
100,tt4643580,2015-09-04,5300000,9080818,Animation,Español,MX,Mexico,Español,71.34
101,tt4644382,2015-07-10,10000000,150000000,Fantasy,广州话 / 廣州話,CN,China,广州话 / 廣州話,1400.0
102,tt2660888,2016-07-07,185000000,343471816,Action,English,US,United States of America,English,85.66
103,tt4686604,2015-05-07,3800000,488569,Drama,Pусский,RU,Russia,Pусский,-87.14
104,tt4714204,2015-04-30,2000000,1683000,Comedy,Pусский,RU,Russia,Pусский,-15.85
105,tt4788602,2015-03-07,46597700,32700000,Comedy,日本語,JP,Japan,日本語,-29.82
106,tt4871022,2015-07-16,2800000,964206,Comedy,Pусский,RU,Russia,Pусский,-65.56
107,tt4881242,2015-08-20,1050255,2250547,Action,,IN,India,,114.29
108,tt4888834,2015-09-18,1900000,7800000,Drama,,IN,India,,310.53
109,tt4901756,2015-09-10,1000000,2228115,Horror,Pусский,RU,Russia,Pусский,122.81
110,tt4942750,2015-04-11,200000,200000, , , , , ,0.0
111,tt4992086,2015-09-04,1400000,8300000,Romance,తెలుగు,IN,India,తెలుగు,492.86
112,tt5057300,2015-10-16,4900000,2498851,Adventure,Deutsch,DE,Germany,Deutsch,-49.0
113,tt5112966,2015-10-22,1211360,3129507,Comedy,Pусский,RU,Russia,Pусский,158.35
114,tt5127406,2015-11-13,250071,534159,Documentary,Norsk,NO,Norway,Norsk,113.6
115,tt5140556,2017-01-13,80,460,Documentary,普通话,CN,China,普通话,475.0
116,tt5151622,2015-11-06,1183424,36982,Action,हिन्दी,IN,India,हिन्दी,-96.88
117,tt5190958,2015-11-12,1500000,4400000,Music,हिन्दी,IN,India,हिन्दी,193.33
118,tt5227024,2015-12-03,713,399,Comedy,English,SG,Singapore,English,-44.04
119,tt5253372,2015-11-22,2000000,189000,Comedy,Pусский,RU,Russia,Pусский,-90.55
120,tt5269792,2016-11-30,11000,3000,Documentary,Français,FR,France,Français,-72.73
121,,2015-11-26,1500000,40840,Drama,Pусский,RU,Russia,Pусский,-97.28
122,tt6673840,2017-04-09,7075038,9868942,Adventure,Pусский,RU,Russia,Pусский,39.49
124,,2015-03-25,6000,6000, ,English, , , ,0.0
125,tt5761968,2015-03-13,200000,5152,Drama,Español,CO,Colombia,Español,-97.42
126,tt6447370,2015-12-03,4700000,500000, , , , , ,-89.36
127,tt0419706,2005-10-20,60000000,58072119,Action,日本語,CZ,Czech Republic,日本語,-3.21
128,tt0375063,2004-10-22,16000000,109502303,Comedy,,US,United States of America,,584.39
129,tt0902272,2008-02-26,3500000,5231128,Action,English,US,United States of America,English,49.46
130,tt7365948,2015-10-22,150000,2000,Drama,Español,CO,Colombia,Español,-98.67
0,tt1002563,2016-03-10,18500000,6490401,Drama,English,US,United States of America,English,-64.92
1,tt0096320,1988-12-09,15000000,216614388,Comedy,English,US,United States of America,English,1344.1
2,tt1082807,2016-03-17,5000000,10166820,Action,English,CO,Colombia,English,103.34
3,tt1911661,2010-09-16,150000,10000,Documentary,Italiano,IT,Italy,Italiano,-93.33
4,tt1124037,2016-06-24,50000000,25035950,Action,English,US,United States of America,English,-49.93
