,tconst,release_date,budget,revenue,genres,original_language,origin_country,production_countries name,spoken_languages name,Profit%
47,tt5935704,2018-01-25,31000000,81673897,Drama,हिन्दी,IN,India,हिन्दी,163.46
48,tt6063050,2018-03-30,20000000,34764055,Thriller,English,US,United States of America,English,73.82
49,tt6073576,2018-04-20,17000000,60622,Action,普通话,CN,China,普通话,-99.64
50,tt6096852,2019-09-03,3000,4000,Thriller,English,GB,United Kingdom,English,33.33
51,tt6133466,2018-07-04,13000000,137056262,Action,English,US,United States of America,English,954.28
52,tt6212478,2018-06-01,3000000,2847319,Drama,English,US,United States of America,English,-5.09
53,tt6257174,2018-07-18,900000,2019874,Drama,English,GB,United Kingdom,English,124.43
54,tt6450186,2018-02-14,7000000,86026201,Music,English,US,United States of America,English,1128.95
55,tt6491178,2019-02-21,15000000,660132,Crime,English,CA,Canada,English,-95.6
56,tt6588966,2018-03-23,2000000,25629954,Drama,English,IN,India,English,1181.5
57,tt6628394,2018-10-04,32000000,31882724,Thriller,English,US,United States of America,English,-0.37
58,tt6663582,2018-08-02,40000000,33562069,Action,English,CA,Canada,English,-16.09
59,tt6749318,2018-11-16,15000000,5812,Crime,English,PR,Puerto Rico,English,-99.96
60,tt6791096,2018-04-19,32000000,94539426,Comedy,English,CN,China,English,195.44
61,tt6802308,2018-02-02,30000000,57076286,Drama,English,US,United States of America,English,90.25
62,tt6878882,2018-02-16,70000000,579220560,Action,العربية,CN,China,العربية,727.46
63,tt6921996,2018-09-13,25000000,158256993,Action,English,FR,France,English,533.03
64,tt6946008,,15000,10000, , , , , ,-33.33
65,tt0113198,1995-04-07,18000000,35348597,Romance,English,AU,Australia,English,96.38
66,tt7125860,2018-12-14,12000000,20572691,Drama,English,US,United States of America,English,71.44
67,tt7158430,2018-06-08,2000000,2115765,Drama,English,US,United States of America,English,5.79
68,tt7167630,2018-01-12,1000000,3469151,Thriller,English,US,United States of America,English,246.92
69,tt7187860,2018-01-18,8166084,8475827, ,Italiano, , , ,3.79
70,tt7334528,2018-06-27,19000000,17665000,Comedy,English,US,United States of America,English,-7.03
71,tt7349662,2018-07-30,15000000,48686605,Crime,English,US,United States of America,English,224.58
72,tt7388562,2018-03-23,5000000,22525668,History,Español,US,United States of America,Español,350.51
73,tt7401588,2018-11-16,48000000,14700000,Comedy,English,US,United States of America,English,-69.38
74,tt7424200,2018-07-27,10000000,28646544,Animation,English,US,United States of America,English,186.47
75,tt7465992,2018-05-09,4346100,11589600,Drama,English,IN,India,English,166.67
76,tt0104254,1992-04-10,24000000,32710894,Fantasy,English,AU,Australia,English,36.3
77,tt7720922,2018-09-21,7100000,9600000,Comedy,हिन्दी,IN,India,हिन्दी,35.21
78,tt0119145,1998-06-28,1700000,1960000, , , , , ,15.29
79,tt7897432,2018-02-20,10000,10000,Action,فارسی,IR,Iran,فارسی,0.0
80,tt7901384,2018-10-08,10000,10000,Comedy,فارسی,IR,Iran,فارسی,0.0
81,tt7901408,2018-02-20,10000,10000, ,فارسی, , , ,0.0
82,tt7901572,2018-08-13,10000,100000,Drama,فارسی,IR,Iran,فارسی,900.0
83,tt7919680,2018-08-03,3038109,3489863,Adventure,हिन्दी,IN,India,हिन्दी,14.87
84,tt7921182,2018-02-08,10,1, ,English, , , ,-90.0
85,tt0072081,1975-05-21,5000000,41833347,Mystery,English,GB,United Kingdom,English,736.67
86,tt7994188,2018-01-19,296770,1632236, , , , , ,450.0
87,tt8032912,2018-08-22,858369,3087982,Action,English,AU,Australia,English,259.75
88,tt8043306,2018-07-20,1500000,3062477,Drama,اردو,PK,Pakistan,اردو,104.17
89,tt8047208,2018-06-01,1000000,100000000, ,తెలుగు, , , ,9900.0
90,tt8072400,2018-10-18,2123894,5479646,Romance,తెలుగు,IN,India,తెలుగు,158.0
91,tt8108198,2018-10-05,4500000,40000000,Crime,English,IN,India,English,788.89
92,tt8116428,2018-08-01,18300000,112790210,Drama,한국어/조선말,KR,South Korea,한국어/조선말,516.34
93,tt8119680,2018-10-03,7120949,29433930,Crime,한국어/조선말,KR,South Korea,한국어/조선말,313.34
94,tt8166164,2018-03-20,10000,10000,Comedy,فارسی,IR,Iran,فارسی,0.0
95,tt8262118,2018-02-16,2,10, , , , , ,400.0
96,tt8267604,2018-10-06,4000000,64978931,Drama,العربية,LB,Lebanon,العربية,1524.47
97,tt8267604,2018-10-06,4000000,64978931,Drama,العربية,LB,Lebanon,العربية,1524.47
98,tt8589358,2017-09-09,10000,10000,Comedy,فارسی,IR,Iran,فارسی,0.0
99,tt8602654,2018-08-23,282099,4936739,Drama,English,IN,India,English,1650.0
