,ID
742,651944
743,594270
744,594412
745,721480
746,169927
747,596054
748,604686
749,647186
750,604074
751,438513
752,588867
753,631909
754,605509
755,625517
756,609637
757,617275
758,612454
759,566592
760,613579
761,653985
762,638676
763,725146
764,688374
765,516259
766,628632
767,575353
768,283347
769,551387
770,752795
771,493495
772,605385
773,648564
774,607714
775,603903
776,597111
777,691758
778,605702
779,397481
780,574321
781,605455
782,634045
783,696270
784,638691
785,410795
786,646973
787,609624
788,605767
789,597105
790,617679
791,716318
792,588689
793,625067
794,632261
795,734308
796,606095
797,604591
798,605962
799,615210
800,596890
801,597691
802,616293
803,625462
804,701765
805,604945
806,606098
807,646880
808,659180
809,619915
810,631425
811,606156
812,740538
813,695405
814,200929
815,680605
816,621978
817,593036
818,594490
819,611393
820,697775
821,353106
822,600423
823,469195
824,668427
825,653951
826,367198
827,611190
828,656917
829,594491
830,590143
831,632958
832,614249
833,603146
834,749813
835,606157
836,657503
837,637920
838,626258
839,607033
840,627446
841,636469
842,164466
843,651381
844,609671
845,638330
846,601611
847,737730
848,434164
849,276457
850,604165
851,572988
852,608576
853,636752
854,609419
855,592783
856,607181
857,619164
858,607396
859,589209
860,596623
861,615432
862,510242
863,646173
864,634194
865,717035
866,698789
867,589745
868,689753
869,575861
870,623092
871,620631
872,667001
873,494488
874,636075
875,634253
876,608972
877,628571
878,618331
879,670468
880,606756
881,606761
882,606764
883,581377
884,586342
885,649675
886,610759
887,603255
888,621898
889,633831
890,597295
891,607847
892,631691
893,651353
894,673471
895,616299
896,619164
897,580949
898,585295
899,641710
900,593880
901,606590
902,710680
903,622719
904,573672
905,637939
906,628450
907,663030
908,332925
909,630849
910,650873
911,606915
912,574309
913,609618
914,607082
915,573610
916,613380
917,727002
918,629812
919,649141
920,628123
921,630021
922,660643
923,398362
924,609157
925,538082
926,544480
927,724150
928,568503
929,608801
930,659001
931,629278
932,701460
933,506517
934,603938
935,607950
936,624474
937,597419
938,636622
939,603153
940,603156
941,603160
942,618425
943,670468
944,608365
945,618383
946,610892
947,615040
948,609665
949,589869
950,608078
951,622413
952,579851
953,583718
954,642964
955,674430
956,718611
957,667222
958,628750
959,610046
960,443016
961,617302
962,653447
963,626767
964,572999
965,631750
966,617273
967,617571
968,617257
969,617274
970,470285
971,610044
972,651232
973,610084
974,610092
975,612415
976,640275
977,619272
978,630698
979,611412
980,577037
981,611052
982,585026
983,611059
984,590206
985,612361
986,289
987,629393
988,655131
989,616914
990,706862
991,742417
992,659159
993,696436
994,577709
995,609382
996,712295
997,593067
998,629104
999,637811
1000,497727
1001,637808
1002,613663
1003,603302
1004,744253
1005,616756
1006,597853
1007,662950
1008,587351
1009,608620
1010,612788
1011,609712
1012,605245
1013,691457
1014,611653
1015,620326
1016,597832
1017,646069
1018,638791
1019,670982
1020,741696
1021,573791
1022,512229
1023,587910
1024,607306
1025,573655
1026,596707
1027,597942
1028,613461
1029,523177
1030,545091
1031,451916
1032,592512
1033,606590
1034,87867
1035,608120
1036,507680
1037,610128
1038,662915
1039,576483
1040,304717
1041,716185
1042,605076
1043,742253
1044,622934
1045,629321
1046,618473
1047,642009
1048,575545
1049,542090
1050,617151
1051,623017
1052,637881
1053,472640
1054,553361
1055,621401
1056,613675
1057,634813
1058,725623
1059,649917
1060,241186
1061,624973
1062,611444
1063,652112
1064,645214
1065,623287
1066,639251
1067,738311
1068,676470
1069,649565
1070,616802
1071,690343
1072,594938
1073,662928
1074,722439
1075,609874
1076,182938
1077,612375
1078,610737
1079,575220
1080,567527
1081,616733
1082,596704
1083,675369
1084,589985
1085,617144
1086,626013
1087,661653
1088,345336
1089,589848
1090,607348
1091,643236
1092,614049
1093,602700
1094,608605
1095,611077
1096,608614
1097,606752
1098,608606
1099,609844
1100,642293
1101,665119
1102,716713
1103,641435
1104,518480
1105,676383
1106,305185
1107,611337
1108,611291
1109,709197
1110,598697
1111,254349
1112,617196
1113,533781
1114,557358
1115,590712
1116,571627
1117,611742
1118,623464
1119,654578
1120,622831
1121,611424
1122,616746
1123,518578
1124,620210
1125,611058
1126,611643
1127,683496
1128,626711
1129,631828
1130,616928
1131,619265
1132,618711
1133,605257
1134,610296
1135,55864
1136,598706
1137,592018
1138,618479
1139,611716
1140,640020
1141,622382
1142,615084
1143,483894
1144,265208
1145,611640
1146,589082
1147,614947
1148,611057
1149,640293
1150,606344
1151,723151
1152,639131
1153,618729
1154,695643
1155,640106
1156,624480
1157,537752
1158,652374
1159,601271
1160,614744
1161,625545
1162,633698
1163,614698
1164,658619
1165,625276
1166,621751
1167,643725
1168,631864
1169,589316
1170,612799
1171,607352
1172,685757
1173,612502
1174,611370
1175,616073
1176,173142
1177,622627
1178,662946
1179,755700
1180,637895
1181,617207
1182,664034
1183,644710
1184,608914
1185,594398
1186,609502
1187,712482
1188,580574
1189,590031
1190,589733
1191,575864
1192,611053
1193,621764
1194,651291
1195,707022
1196,592915
1197,633354
1198,614905
1199,638210
1200,631997
1201,611081
1202,606023
1203,602275
1204,48395
1205,634248
1206,625753
