,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
938,505058,tt4761916,2018-07-19,1000000,9602624,Horror,English,Unfriended: Dark Web,US,United States of America,English
975,351286,tt4881806,2018-06-06,170000000,1303459585,Action,English,Jurassic World: Fallen Kingdom,US,United States of America,English
985,353081,tt4912910,2018-07-13,178000000,791017452,Action,English,Mission: Impossible - Fallout,CN,China,English
999,440161,tt4971344,2018-09-19,38000000,13143056,Western,English,The Sisters Brothers,US,United States of America,English
1027,400535,tt5052474,2018-06-27,35000000,75836683,Action,English,Sicario: Day of the Soldado,US,United States of America,English
1041,363088,tt5095030,2018-07-04,140000000,622674139,Action,English,Ant-Man and the Wasp,US,United States of America,English
1054,449176,tt5164432,2018-02-16,17000000,66316289,Comedy,English,"Love, Simon",US,United States of America,English
1059,446807,tt5177088,2018-10-25,43000000,35164920,Action,English,The Girl in the Spider's Web,CA,Canada,English
1066,493551,tt5208252,2018-08-29,24000000,17506878,Drama,Deutsch,Operation Finale,AR,Argentina,Deutsch
1067,447665,tt5208950,2018-01-26,13000000,4537,Action,English,Kickboxer: Retaliation,US,United States of America,English
1072,400155,tt5220122,2018-06-28,80000000,100176000,Family,English,Hotel Transylvania 3: Summer Vacation,US,United States of America,English
1111,501192,tt5325684,2018-03-09,2900000,3200000,Thriller,हिन्दी,Hate Story IV,IN,India,हिन्दी
1120,430040,tt5360952,2018-02-28,35000000,32517248,Action,English,The Hurricane Heist,US,United States of America,English
1168,426543,tt5523010,2018-10-26,120000000,59522646,Fantasy,English,The Nutcracker and the Four Realms,US,United States of America,English
1187,470044,tt5580266,2018-10-19,23000000,34934009,Crime,English,The Hate U Give,US,United States of America,English
1209,437586,tt5613484,2018-10-19,258158,6897446,Drama,English,mid90s,US,United States of America,English
1224,442062,tt5664636,2018-10-11,35000000,92503612,Adventure,English,Goosebumps 2: Haunted Halloween,GB,United Kingdom,English
1236,396461,tt5691670,2018-06-21,8500000,2053469,Crime,English,Under the Silver Lake,US,United States of America,English
1256,406563,tt5726086,2018-01-03,10000000,167184112,Mystery,English,Insidious: The Last Key,US,United States of America,English
1258,434555,tt5734576,2018-11-29,7700000,41036181,Horror,English,The Possession of Hannah Grace,US,United States of America,English
1304,406761,tt5834262,2018-06-07,15000000,12371132,Thriller,English,Hotel Artemis,GB,United Kingdom,English
1308,483189,tt5842616,2018-06-01,6800000,19700000,Drama,हिन्दी,वीरे दी वेडिंग,IN,India,हिन्दी
1312,404368,tt5848272,2018-11-20,175000000,529221154,Family,English,Ralph Breaks the Internet,US,United States of America,English
1357,432527,tt5935704,2018-01-25,31000000,81673897,Drama,हिन्दी,पद्मावत,IN,India,हिन्दी
1440,464502,tt6063050,2018-03-30,20000000,34764055,Thriller,English,Acrimony,US,United States of America,English
1448,617922,tt6073576,2018-04-20,17000000,60622,Action,普通话,理想之路,CN,China,普通话
1463,654954,tt6096852,2019-09-03,3000,4000,Thriller,English,Follow the Crows,GB,United Kingdom,English
1501,442249,tt6133466,2018-07-04,13000000,137056262,Action,English,The First Purge,US,United States of America,English
1566,489931,tt6212478,2018-06-01,3000000,2847319,Drama,English,American Animals,US,United States of America,English
1596,426613,tt6257174,2018-07-18,900000,2019874,Drama,English,The Miseducation of Cameron Post,GB,United Kingdom,English
1713,470878,tt6450186,2018-02-14,7000000,86026201,Music,English,I Can Only Imagine,US,United States of America,English
1744,438674,tt6491178,2019-02-21,15000000,660132,Crime,English,Dragged Across Concrete,CA,Canada,English
1808,493623,tt6588966,2018-03-23,2000000,25629954,Drama,English,Hichki,IN,India,English
1842,446021,tt6628394,2018-10-04,32000000,31882724,Thriller,English,Bad Times at the El Royale,US,United States of America,English
1859,454992,tt6663582,2018-08-02,40000000,33562069,Action,English,The Spy Who Dumped Me,CA,Canada,English
1913,466411,tt6749318,2018-11-16,15000000,5812,Crime,English,Speed Kills,PR,Puerto Rico,English
1935,460668,tt6791096,2018-04-19,32000000,94539426,Comedy,English,I Feel Pretty,CN,China,English
1946,453201,tt6802308,2018-02-02,30000000,57076286,Drama,English,The 15:17 to Paris,US,United States of America,English
2023,460555,tt6878882,2018-02-16,70000000,579220560,Action,العربية,红海行动,CN,China,العربية
2067,463272,tt6921996,2018-09-13,25000000,158256993,Action,English,Johnny English Strikes Again,FR,France,English
2088,459514,tt6946008,,15000,10000, , , , , , 
2270,15789,tt0113198,1995-04-07,18000000,35348597,Romance,English,A Goofy Movie,AU,Australia,English
2275,465914,tt7125860,2018-12-14,12000000,20572691,Drama,English,If Beale Street Could Talk,US,United States of America,English
2316,470333,tt7158430,2018-06-08,2000000,2115765,Drama,English,Hearts Beat Loud,US,United States of America,English
2326,471474,tt7167630,2018-01-12,1000000,3469151,Thriller,English,Batman: Gotham by Gaslight,US,United States of America,English
2340,486078,tt7187860,2018-01-18,8166084,8475827, ,Italiano,Il vegetale, , , 
2517,474335,tt7334528,2018-06-27,19000000,17665000,Comedy,English,Uncle Drew,US,United States of America,English
2532,487558,tt7349662,2018-07-30,15000000,48686605,Crime,English,BlacKkKlansman,US,United States of America,English
2584,476968,tt7388562,2018-03-23,5000000,22525668,History,Español,"Paul, Apostle of Christ",US,United States of America,Español
2616,491418,tt7401588,2018-11-16,48000000,14700000,Comedy,English,Instant Family,US,United States of America,English
2639,474395,tt7424200,2018-07-27,10000000,28646544,Animation,English,Teen Titans Go! To the Movies,US,United States of America,English
2668,459713,tt7465992,2018-05-09,4346100,11589600,Drama,English,మహానటి,IN,India,English
2751,13225,tt0104254,1992-04-10,24000000,32710894,Fantasy,English,FernGully: The Last Rainforest,AU,Australia,English
3038,496334,tt7720922,2018-09-21,7100000,9600000,Comedy,हिन्दी,बत्ती गुल मीटर चालू,IN,India,हिन्दी
3113,346510,tt0119145,1998-06-28,1700000,1960000, , , , , , 
3301,504543,tt7897432,2018-02-20,10000,10000,Action,فارسی,چهار راه استانبول,IR,Iran,فارسی
3306,526433,tt7901384,2018-10-08,10000,10000,Comedy,فارسی,خجالت نکش,IR,Iran,فارسی
3307,504112,tt7901408,2018-02-20,10000,10000, ,فارسی,مصادره, , , 
3308,542184,tt7901572,2018-08-13,10000,100000,Drama,فارسی,جشن دلتنگی,IR,Iran,فارسی
3343,533237,tt7919680,2018-08-03,3038109,3489863,Adventure,हिन्दी,कारवाँ,IN,India,हिन्दी
3348,483876,tt7921182,2018-02-08,10,1, ,English,Dead Man's Line, , , 
3475,11843,tt0072081,1975-05-21,5000000,41833347,Mystery,English,The Return of the Pink Panther,GB,United Kingdom,English
3509,519011,tt7994188,2018-01-19,296770,1632236, , , , , , 
3605,543005,tt8032912,2018-08-22,858369,3087982,Action,English,پرواز ہے جنوں‬,AU,Australia,English
3628,506971,tt8043306,2018-07-20,1500000,3062477,Drama,اردو,طیفا اِن ٹرَبل,PK,Pakistan,اردو
3640,520393,tt8047208,2018-06-01,1000000,100000000, ,తెలుగు,టాక్సీవాలా, , , 
3688,517508,tt8072400,2018-10-18,2123894,5479646,Romance,తెలుగు,హలో గురు ప్రేమ కోసమే,IN,India,తెలుగు
3764,534780,tt8108198,2018-10-05,4500000,40000000,Crime,English,अंधाधुन,IN,India,English
3784,518068,tt8116428,2018-08-01,18300000,112790210,Drama,한국어/조선말,신과함께-인과 연,KR,South Korea,한국어/조선말
3791,544627,tt8119680,2018-10-03,7120949,29433930,Crime,한국어/조선말,암수살인,KR,South Korea,한국어/조선말
