,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
2354,366755,tt4307968,2015-12-02,450000,1500000,Comedy,Nederlands,Fashion Chicks,NL,Netherlands,Nederlands
2423,279449,tt4337414,2015-01-10,500,100,Comedy,తెలుగు,గోపాల గోపాల,IN,India,తెలుగు
2425,343795,tt4337690,2015-09-11,5000000,4842699,Drama,English,90 Minutes in Heaven,US,United States of America,English
2504,319993,tt4374460,2015-03-06,1379375,105097,Drama,Română,Aferim!,BG,Bulgaria,Română
2505,371764,tt4374502,2015-11-01,60000,3145, , , , , , 
2600,343139,tt4415068,2015-02-19,2020000,5520000,Comedy,普通话,Ah Boys to Men 3: Frogmen,SG,Singapore,普通话
2657,354667,tt4432480,2015-07-03,490000,5000000,Horror,?????,RangiTaranga,IN,India,?????
2690,328725,tt4448050,2015-02-01,2000,2000, ,English,The Forgiveness Journey,US,United States of America,English
2849,459514,tt6946008,,15000,10000, , , , , , 
2914,330999,tt4523112,2015-03-13,500000,500001,Drama,Türkçe,Selam: Bahara Yolculuk,TR,Turkey,Türkçe
2929,334384,tt4527664,2015-04-04,1500,53889,Comedy,English,Tex Montana Will Survive!,US,United States of America,English
3003,332830,tt4557014,2015-03-27,670000,4700000,Comedy,,ഒരു വടക്കൻ സെൽഫി,IN,India,
3104,664834,tt4590218,2015-05-27,100000,100000,Documentary,Español,Cumbia la reina,AR,Argentina,Español
3122,691633,tt4597454,2015-04-10,1974853,3554736, , , , , , 
3187,338944,tt4625752,2015-05-07,2400000,3346518,Comedy,Pусский,Одной левой,RU,Russia,Pусский
3229,264419,tt4643580,2015-09-04,5300000,9080818,Animation,Español,Un gallo con muchos huevos,MX,Mexico,Español
3233,351694,tt4644382,2015-07-10,10000000,150000000,Fantasy,广州话 / 廣州話,西游记之大圣归来,CN,China,广州话 / 廣州話
3359,188927,tt2660888,2016-07-07,185000000,343471816,Action,English,Star Trek Beyond,US,United States of America,English
3365,338942,tt4686604,2015-05-07,3800000,488569,Drama,Pусский,Дорога на Берлин,RU,Russia,Pусский
3436,341408,tt4714204,2015-04-30,2000000,1683000,Comedy,Pусский,Приличные люди,RU,Russia,Pусский
3590,350650,tt4788602,2015-03-07,46597700,32700000,Comedy,日本語,映画ドラえもん のび太の宇宙英雄記（スペースヒーローズ）,JP,Japan,日本語
3786,347979,tt4871022,2015-07-16,2800000,964206,Comedy,Pусский,Гороскоп на удачу,RU,Russia,Pусский
3806,338930,tt4881242,2015-08-20,1050255,2250547,Action,,ലോഹം,IN,India,
3841,360648,tt4888834,2015-09-18,1900000,7800000,Drama,,എന്ന് നിന്‍റെ മൊയ്തീൻ,IN,India,
3878,358962,tt4901756,2015-09-10,1000000,2228115,Horror,Pусский,Пиковая дама: Черный обряд,RU,Russia,Pусский
3980,645997,tt4942750,2015-04-11,200000,200000, , , , , , 
4109,367553,tt4992086,2015-09-04,1400000,8300000,Romance,తెలుగు,భలే భలే మగాడివోయ్,IN,India,తెలుగు
4239,377495,tt5057300,2015-10-16,4900000,2498851,Adventure,Deutsch,Doktor Proktors tidsbadekar,DE,Germany,Deutsch
4386,364594,tt5112966,2015-10-22,1211360,3129507,Comedy,Pусский,Без границ,RU,Russia,Pусский
4422,463622,tt5127406,2015-11-13,250071,534159,Documentary,Norsk,Søsken til evig tid: Amerikareisa,NO,Norway,Norsk
4481,369676,tt5140556,2017-01-13,80,460,Documentary,普通话,我的诗篇,CN,China,普通话
4509,371439,tt5151622,2015-11-06,1183424,36982,Action,हिन्दी,Ranbanka,IN,India,हिन्दी
4583,368330,tt5190958,2015-11-12,1500000,4400000,Music,हिन्दी,कट्यार काळजात घुसली,IN,India,हिन्दी
4651,381888,tt5227024,2015-12-03,713,399,Comedy,English,Unbelievable先生,SG,Singapore,English
4705,364760,tt5253372,2015-11-22,2000000,189000,Comedy,Pусский,Война полов,RU,Russia,Pусский
4736,440891,tt5269792,2016-11-30,11000,3000,Documentary,Français,Parole de King!,FR,France,Français
4804,372994,,2015-11-26,1500000,40840,Drama,Pусский,Зеленая карета,RU,Russia,Pусский
4881,440642,tt6673840,2017-04-09,7075038,9868942,Adventure,Pусский,Время первых,RU,Russia,Pусский
4898,397675, , , , , , , , , , 
5036,335679,,2015-03-25,6000,6000, ,English,The World Underground: China, , , 
5126,692712,tt5761968,2015-03-13,200000,5152,Drama,Español,Tres Escapularios,CO,Colombia,Español
5318,529625,tt6447370,2015-12-03,4700000,500000, , , , , , 
5335,8814,tt0419706,2005-10-20,60000000,58072119,Action,日本語,Doom,CZ,Czech Republic,日本語
5443,9675,tt0375063,2004-10-22,16000000,109502303,Comedy,,Sideways,US,United States of America,
5467,14011,tt0902272,2008-02-26,3500000,5231128,Action,English,Justice League: The New Frontier,US,United States of America,English
5475,720214,tt7365948,2015-10-22,150000,2000,Drama,Español,La Caravana de Gardel,CO,Colombia,Español
