,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
155,415122,,2015-08-07,0,0, , , , , , 
156,359621,,2015-09-04,0,0, , , , , , 
157,361756,,2015-09-24,0,0, , , , , , 
158,371933,,2015-09-24,0,0, , , , , , 
159,363182,,2015-10-09,0,0, ,தமிழ்,Kathukutty, , , 
160,370467,,2015-10-22,0,0, , , , , , 
161,384552,,,0,0, , , , , , 
162,400771,,2016-10-30,0,0, , , , , , 
163,367981,,2015-10-30,0,0, , , , , , 
164,260635,,2014-02-21,0,0, ,தமிழ்,வெண்மேகம், , , 
165,365338,,2015-11-06,0,0,Documentary,ελληνικά,Ένα ταξίδι ζωής 60 χρόνων: Νίκος Καβουκίδης 1955-2015,GR,Greece,ελληνικά
166,401312,tt7363324,2015-08-14,0,0, ,,Just Married, , , 
167,335805,tt1322393,2015-07-01,0,0,War,English,Faith of Our Fathers,US,United States of America,English
168,372849,,2015-11-01,0,0,Documentary,हिन्दी,Cities of Sleep,IN,India,हिन्दी
169,282491,tt2371451,1964-01-02,0,0,Music,Pусский,Shukur Bakhshy,TM,Turkmenistan,Pусский
170,67532,tt0025509,1934-02-03,0,0,Drama,Français,Les Misérables,FR,France,Français
171,426323,tt1326190,2015-08-15,0,0,Science Fiction,English,Aliens: Zone-X,US,United States of America,English
172,322348,,2014-11-18,0,0, ,?????,Khushi Khushiyagi, , , 
173,263758,,1938-05-01,0,0, , , , , , 
174,238876,tt2013784,1999-05-26,0,0, ,हिन्दी,Last Train To Mahakali, , , 
175,474938,tt0315742,1982-09-01,0,0, ,,ആരംഭം,IN,India,
176,17501,tt0461936,2006-10-20,5000000,15000000,Action,हिन्दी,डॉन,IN,India,हिन्दी
177,277944,,1983-06-21,0,0, ,,ആ രാത്രി, , , 
178,80832,tt0283005,1986-03-23,0,0, ,తెలుగు,Sri Shirdi Saibaba Mahathyam, , , 
179,755170,tt13299866,2015-11-14,0,0, , , , , , 
180,87101,tt1340138,2015-06-23,155000000,440603537,Science Fiction,English,Terminator Genisys,US,United States of America,English
181,277968,tt1369667,2015-09-17,0,0,Comedy,Français,Ich und Kaminski,BE,Belgium,Français
182,435422,tt1379712,2015-03-15,0,0, , , , , , 
183,115874,tt1382727,2015-10-09,6000000,0,Drama,Pусский,Segon origen,ES,Spain,Pусский
184,76341,tt1392190,2015-05-13,150000000,378858340,Action,English,Mad Max: Fury Road,AU,Australia,English
185,277216,tt1398426,2015-08-13,28000000,201634991,Drama,English,Straight Outta Compton,US,United States of America,English
186,325365,tt1421361,2015-03-13,0,0, , , , , , 
187,462221,tt1494817,2015-01-09,0,0, ,English,The Dalhia Knights, , , 
188,437547,tt1498754,2017-02-10,0,0,Documentary,English,Do You Dream in Color?,US,United States of America,English
189,467659,tt1512098,2017-10-04,0,0, , , , , , 
190,363890,tt1512222,2015-10-05,750000,0,Action,English,Night of the Living Dead: Darkest Dawn,US,United States of America,English
191,157544,tt1524575,2015-07-24,13000000,1784763,Thriller,English,The Vatican Tapes,US,United States of America,English
192,324314,tt1533089,2015-03-15,0,0,Documentary,Français,Tab Hunter Confidential,US,United States of America,Français
193,412682,tt1564945,2015-10-15,0,0, ,English,The Scarapist, , , 
194,387999,tt1572506,2015-10-01,0,0,Comedy,English,The High Schooler's Guide to College Parties,US,United States of America,English
195,318846,tt1596363,2015-12-11,28000000,133346506,Comedy,English,The Big Short,US,United States of America,English
196,156981,tt1600429,2015-03-21,0,0,Horror,English,Old 37,US,United States of America,English
197,228345,tt1605791,2013-10-18,0,0,Drama,English,Beyond the Farthest Star,US,United States of America,English
198,106845,tt1612319,2015-10-16,9500000,0,Horror,English,Re-Kill,US,United States of America,English
199,274854,tt1618442,2015-10-21,90000000,146936910,Fantasy,English,The Last Witch Hunter,US,United States of America,English
200,300792,tt1618448,2015-01-24,0,0,Adventure,English,Racing Extinction,US,United States of America,English
201,293863,tt1655441,2015-04-16,25000000,65663276,Fantasy,English,The Age of Adaline,US,United States of America,English
202,366566,tt1659611,2015-12-23,0,7862364,Comedy,Français,Le Grand Partage,FR,France,Français
203,330669,tt1661066,2015-01-17,0,0, ,English,Montauk Chronicles, , , 
204,551761,tt1671741,,0,0, , , , , , 
