,tconst,primaryTitle,startYear,Metascore,imdbRating,imdbVotes,Title
720,tt10097954,Quest for Real Immunity,2018,N/A,6.4,5,Quest for Real Immunity
743,tt10101296,Small Things,2018,N/A,N/A,N/A,Small Things
763,tt10102408,Vremeto e nashe,2018,N/A,N/A,N/A,Vremeto e nashe
766,tt10102782,Hold Your Horses: The Limit of the Law,2018,N/A,N/A,N/A,Hold Your Horses: The Limit of the Law
768,tt10102826,Grutarally: The Return of 'Kid's Eating Trash',2018,N/A,N/A,N/A,Grutarally: The Return of 'Kid's Eating Trash'
778,tt10106604,Passage to Real Immunity,2018,N/A,N/A,N/A,Passage to Real Immunity
784,tt10106848,Mamu: And a Mother Too,2018,N/A,N/A,N/A,Mamu: And a Mother Too
785,tt10107012,Beyond Blood,2018,N/A,N/A,N/A,Beyond Blood
786,tt10107208,Copper Mountains,2018,N/A,N/A,N/A,Copper Mountains
791,tt10107882,Double Twisting Double Back,2018,N/A,N/A,N/A,Double Twisting Double Back
802,tt10109836,Hilda Hilst Pede Contato,2018,N/A,N/A,N/A,Hilda Hilst Pede Contato
804,tt10109932,O silêncio da noite é que tem sido testemunha das minhas amarguras,2018,N/A,N/A,N/A,O silêncio da noite é que tem sido testemunha das minhas amarguras
815,tt10111222,Asuang,2018,N/A,N/A,N/A,Asuang
818,tt10111484,Vicar Ka Achar Open Your Mind Before Your Mouth,2018,N/A,N/A,N/A,Vicar Ka Achar Open Your Mind Before Your Mouth
820,tt10111576,Hospicio,2018,N/A,N/A,N/A,Hospicio
825,tt10111948,The Peacekeepers,2018,N/A,N/A,N/A,The Peacekeepers
833,tt10112464,Frank & Fearless,2018,N/A,5.1,19,Frank & Fearless
837,tt10115002,Propietarios de sueños,2018,N/A,N/A,N/A,Propietarios de sueños
845,tt10115494,"Sogni, Sesso e Cuori Infranti",2018,N/A,N/A,N/A,"Sogni, Sesso e Cuori Infranti"
854,tt10116482,Krymskaya Istoriya X,2018,N/A,N/A,N/A,Krymskaya Istoriya X
856,tt10116528,Radiance,2018,N/A,N/A,N/A,Radiance
908,tt10125578,Change in the Family,2018,N/A,N/A,N/A,Change in the Family
915,tt10125986,Watakushi no dorei ni narinasai dai ni sho go shujin-sama to yobasete kudasai,2018,N/A,4.9,16,Watakushi no dorei ni narinasai dai ni sho go shujin-sama to yobasete kudasai
917,tt10126230,Wasted Eggs,2018,N/A,N/A,N/A,Wasted Eggs
922,tt10126682,Ascend,2018,N/A,N/A,N/A,Ascend
924,tt10127228,Up to You,2018,N/A,3.3,46,Up to You
934,tt10127790,Die Abenteuer des Tiberius von Hadern,2018,N/A,N/A,N/A,Die Abenteuer des Tiberius von Hadern
935,tt10128354,Ne laisse jamais la Baraque,2018,N/A,N/A,N/A,Ne laisse jamais la Baraque
936,tt10128378,Maksymiuk. Koncert na dwoje,2018,N/A,N/A,N/A,Maksymiuk. Koncert na dwoje
937,tt10128580,White Mama,2018,N/A,7.7,9,White Mama
941,tt10129140,Sousa Martins,2018,N/A,N/A,N/A,Sousa Martins
942,tt10129316,O Bailinho,2018,N/A,N/A,N/A,O Bailinho
947,tt10129824,I Grew Up As You Slept,2018,N/A,N/A,N/A,I Grew Up As You Slept
948,tt10129868,The Anti-Fascist Struggle in the Middle-East,2018,N/A,N/A,N/A,The Anti-Fascist Struggle in the Middle-East
949,tt10129872,blockheaDs 3,2018,N/A,N/A,N/A,blockheaDs 3
955,tt10131518,"Self-Portrait in 23 Rounds: A Chapter in David Wojnarowicz's Life, 1989-1991",2018,N/A,N/A,N/A,"Self-Portrait in 23 Rounds: A Chapter in David Wojnarowicz's Life, 1989-1991"
959,tt10131904,Vse ili nichego,2018,N/A,4.7,33,Vse ili nichego
969,tt10133352,"Director Z, el vendedor de ilusiones",2018,N/A,N/A,N/A,"Director Z, el vendedor de ilusiones"
981,tt10135120,IJK - Johnny & June,2018,N/A,N/A,N/A,IJK - Johnny & June
1003,tt10140138,Krocken,2018,N/A,N/A,N/A,Krocken
1005,tt10140532,Into_nation of Big Odessa,2018,N/A,N/A,N/A,Into_nation of Big Odessa
1006,tt10140592,Quando as Luzes das Marquises se Apagam - a História da Cinelândia Paulistana,2018,N/A,7.2,5,Quando as Luzes das Marquises se Apagam - a História da Cinelândia Paulistana
1012,tt10141640,"Flowers Fade Early: Kakopetros, August 28th, 1944",2018,N/A,N/A,N/A,"Flowers Fade Early: Kakopetros, August 28th, 1944"
1014,tt10141736,Don't Tell Me You Can't Sing,2018,N/A,N/A,N/A,Don't Tell Me You Can't Sing
1015,tt10141902,AXXI Errico Malatesta verso un'Umanità Nova,2018,N/A,N/A,N/A,AXXI Errico Malatesta verso un'Umanità Nova
1021,tt10144202,Fear Man,2018,N/A,N/A,N/A,Fear Man
1024,tt10145220,Foreign Love,2018,N/A,N/A,N/A,Foreign Love
1033,tt10147250,Hitokara,2018,N/A,N/A,N/A,Hitokara
1041,tt10147656,Mehr als nur 90 Minuten,2018,N/A,N/A,N/A,Mehr als nur 90 Minuten
1047,tt10148772,Indemnity,2018,N/A,N/A,N/A,Indemnity
1066,tt10151488,Jane Rambo Daughter of the jungle,2018,N/A,N/A,N/A,Jane Rambo Daughter of the jungle
1073,tt10151758,Donna di rispetto,2018,N/A,N/A,N/A,Donna di rispetto
1088,tt10153626,A Minha Avó Trelotótó,2018,N/A,N/A,N/A,A Minha Avó Trelotótó
1091,tt10153730,Sacavém,2018,N/A,5.4,5,Sacavém
1104,tt10156482,Waiting - The Van Duren Story,2018,N/A,N/A,N/A,Waiting - The Van Duren Story
1125,tt10160686,Hymn: Sarah Brightman In Concert,2018,N/A,6.8,6,Hymn: Sarah Brightman In Concert
1126,tt10160694,Allegiance to Broadway,2018,N/A,N/A,N/A,Allegiance to Broadway
1127,tt10160700,Russ Taff: I Still Believe,2018,N/A,8.6,14,Russ Taff: I Still Believe
1131,tt10160730,Moses,2018,N/A,N/A,N/A,Moses
1133,tt10160782,Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities,2018,N/A,N/A,N/A,Cirque du Soleil: KURIOS - Cabinet of Curiosities
1141,tt10161346,I Am the People: Venezuela Under Populism,2018,N/A,N/A,N/A,El Pueblo Soy Yo: Venezuela en Populismo
1142,tt10161390,The Communist,2018,N/A,6.2,5,The Communist
1152,tt10163050,Inga Can Hear,2018,N/A,6.8,5,Inga Can Hear
1162,tt10164160,Connected: The Joe Polish Story,2018,N/A,N/A,N/A,Connected: The Joe Polish Story
1164,tt10164744,Spreeland. Fontane,2018,N/A,N/A,N/A,Spreeland. Fontane
1165,tt10165168,Parade,2018,N/A,N/A,N/A,Parade
1167,tt10165766,Pentcho,2018,N/A,N/A,N/A,Pentcho
1169,tt10166150,The Minor League Mecca,2018,N/A,N/A,N/A,The Minor League Mecca
1171,tt10166750,DSPGaming: The Movie,2018,N/A,N/A,N/A,DSPGaming: The Movie
1184,tt10168458,The Peril on your Plate,2018,N/A,N/A,N/A,The Peril on your Plate
1196,tt10169440,Chewdaism: A Taste of Jewish Montreal,2018,N/A,N/A,N/A,Chewdaism: A Taste of Jewish Montreal
1199,tt10170208,Poesia e Melodia,2018,N/A,N/A,N/A,Poesia e Melodia
1201,tt10170830,Volles Risiko - Musikalisches Glück,2018,N/A,N/A,N/A,Volles Risiko - Musikalisches Glück
1202,tt10171506,Opera Assoluta,2018,N/A,N/A,N/A,Opera Assoluta
1209,tt10172486,Displaced,2018,N/A,N/A,N/A,Displaced
1215,tt10173578,Villa Berdarah,2018,N/A,N/A,N/A,Villa Berdarah
1224,tt10176048,The German,2018,N/A,N/A,N/A,The German
1226,tt10176328,Exteriores: Mulheres Brasileiras na Diplomacia,2018,N/A,8.5,6,Exteriores: Mulheres Brasileiras na Diplomacia
1232,tt10177960,Dreaming of a Vetter World,2018,N/A,9.4,9,Dreaming of a Vetter World
1236,tt10178206,Sappe,2018,N/A,N/A,N/A,Sappe
1238,tt10178258,Han Guang,2018,N/A,N/A,N/A,Han Guang
1239,tt10178280,Mangoshake,2018,N/A,5.4,5,Mangoshake
1245,tt10178906,The Frozen Maze,2018,N/A,N/A,N/A,The Frozen Maze
1246,tt10178972,Baby Occult: Baby Tumbal Baby Die,2018,N/A,5.3,6,Baby Occult: Baby Tumbal Baby Die
1259,tt10182822,Loro,2018,56,6.7,"3,890",Loro
1264,tt10183608,The Unbreakable,2018,N/A,N/A,N/A,The Unbreakable
1271,tt10183814,Life Is a Belief,2018,N/A,N/A,N/A,Life Is a Belief
1278,tt10185098,Robbers 3: Saved in Time,2018,N/A,N/A,N/A,Robbers 3: Saved in Time
1284,tt10186696,Joren & AJ present: The 179 Days of Christmas,2018,N/A,N/A,N/A,Joren & AJ present: The 179 Days of Christmas
1301,tt10188032,Do Not Disturb,2018,N/A,N/A,N/A,Do Not Disturb
1304,tt10188148,The Exorcist Nurse,2018,N/A,N/A,N/A,Kurokan
1311,tt10188332,Vlog Wars-Very Loosely Based On Some True Events Sort Of,2018,N/A,N/A,N/A,Vlog Wars-Very Loosely Based On Some True Events Sort Of
1324,tt10190056,Magnifiche Sorti,2018,N/A,N/A,N/A,Magnifiche Sorti
1340,tt10192672,DCI 2018 Tour Premeire,2018,N/A,N/A,N/A,DCI 2018 Tour Premeire
1341,tt10192676,"DCI 2019: Big, Loud & Live 16",2018,N/A,N/A,N/A,"DCI 2019: Big, Loud & Live 16"
1353,tt10195432,Seven/7,2018,N/A,N/A,N/A,Seven/7
1366,tt10196238,Sargana,2018,N/A,N/A,N/A,Sargana
1369,tt10196778,The Prison of Silence,2018,N/A,N/A,N/A,The Prison of Silence
1370,tt10197354,Ikinci pärdä,2018,N/A,8.7,127,Ikinci pärdä
1375,tt10198270,Inland,2018,N/A,N/A,N/A,Tierra adentro
