,tconst,primaryTitle,startYear,Metascore,imdbRating,imdbVotes,Title
16329,tt2301045,Otaku Vampires,2016,N/A,6.2,30,Otaku Vampires
16333,tt2304933,The 5th Wave,2016,33,5.2,"98,002",The 5th Wave
16339,tt2306786,Chupacabra Territory,2016,N/A,4.9,477,Chupacabra Territory
16349,tt2310316,Inspiration,2016,N/A,6.9,511,Inspiration
16360,tt2315582,Una,2016,62,6.2,"9,363",Una
16366,tt2316965,Pedicab Nation,2016,N/A,N/A,N/A,Pedicab Nation
16368,tt2317088,Sons of Ben,2016,N/A,7.3,94,Sons of Ben
16377,tt2321405,My Life as a Zucchini,2016,85,7.8,"20,860",My Life as a Zucchini
16387,tt2324928,Alienate,2016,N/A,2.7,728,Alienate
16394,tt2330973,Manhattan Undying,2016,N/A,4.6,393,Manhattan Undying
16396,tt2331053,Santa's Boot Camp,2016,N/A,4.0,97,Santa's Boot Camp
16401,tt2334611,Devirginizing Seth,2016,N/A,N/A,N/A,Devirginizing Seth
16403,tt2335096,Crossing Bhutan,2016,N/A,9.0,24,Crossing Bhutan
16404,tt2335444,Look & See: A Portrait of Wendell Berry,2016,58,7.1,110,Look & See: A Portrait of Wendell Berry
16411,tt2338110,Only I...,2016,N/A,N/A,N/A,Only I...
16414,tt2338774,The Land of the Enlightened,2016,N/A,7.1,531,The Land of the Enlightened
16421,tt2340946,GrindHouse 2wo,2016,N/A,1.4,13,GrindHouse 2wo
16422,tt2341672,Unreported,2016,N/A,N/A,N/A,Unreported
16435,tt2347106,Sometime in the Night,2016,N/A,N/A,N/A,Sometime in the Night
16436,tt2347416,In Rajasthan,2016,N/A,N/A,N/A,In Rajasthan
16441,tt2349677,Farewell Ferris Wheel,2016,N/A,7.2,59,Farewell Ferris Wheel
16442,tt2349944,Boy on the Bridge,2016,N/A,7.1,126,Boy on the Bridge
16445,tt2351392,Beyond the Call to Duty,2016,N/A,1.6,487,Beyond the Call to Duty
16446,tt2351804,Game Changers,2016,N/A,5.7,18,Game Changers
16455,tt2355198,Seances,2016,N/A,N/A,N/A,Seances
16465,tt2360356,Code 0044,2016,N/A,N/A,N/A,Code 0044
16466,tt2360586,Haunting in New England,2016,N/A,2.8,264,American Poltergeist
16468,tt2361150,The Gridiron,2016,N/A,5.0,105,The Gridiron
16469,tt2361317,Live by Night,2016,49,6.4,"51,182",Live by Night
16473,tt2362790,Divine Divas,2016,N/A,7.9,243,Divine Divas
16476,tt2364673,Frankenstein Created Bikers,2016,N/A,6.7,636,Frankenstein Created Bikers
16480,tt2364897,The Disappointments Room,2016,31,3.9,"8,965",The Disappointments Room
16483,tt2365911,Nowhere,2016,N/A,N/A,N/A,Nowhere
16484,tt2366041,Every Move You Make,2016,N/A,N/A,N/A,Every Move You Make
16489,tt2368606,The Lost Tree,2016,N/A,4.9,521,The Lost Tree
16490,tt2368619,The Take,2016,48,6.3,"35,107",The Take
16500,tt2370138,Criticsized,2016,N/A,3.7,171,Criticsized
16501,tt2370228,All I Need,2016,N/A,4.1,"1,036",All I Need
16503,tt2371050,Beautiful Brooke,2016,N/A,N/A,N/A,Beautiful Brooke
16504,tt2371365,El Revenge,2016,N/A,7.8,17,El Revenge
16507,tt2373032,To Skin a Cat,2016,N/A,N/A,N/A,To Skin a Cat
16512,tt2375585,Demon Hunter,2016,N/A,3.7,404,Demon Hunter
16513,tt2375589,Teenage Kicks,2016,N/A,6.6,584,Teenage Kicks
16516,tt2377750,Talking Sticks,2016,N/A,N/A,N/A,Talking Sticks
16519,tt2378410,Thrill Kill,2016,N/A,N/A,N/A,Thrill Kill
16528,tt2379809,Driving Nowhere,2016,N/A,N/A,N/A,Driving Nowhere
16535,tt2381213,Sundown,2016,10,5.4,"2,201",Sundown
16541,tt2381991,The Huntsman: Winter's War,2016,35,6.1,"96,099",The Huntsman: Winter's War
16545,tt2385057,Divorce Texas Style,2016,N/A,7.8,390,Divorce Texas Style
16547,tt2385126,'76,2016,N/A,N/A,N/A,'76
16555,tt2387499,Keeping Up with the Joneses,2016,34,5.9,"56,525",Keeping Up with the Joneses
16557,tt2387692,Souvenir,2016,49,6.0,936,Souvenir
16561,tt2388677,Hair I Go Again,2016,N/A,N/A,N/A,Hair I Go Again
16565,tt2389098,Bad Seed,2016,N/A,N/A,N/A,Semente Mala
16570,tt2391072,While We Were,2016,N/A,8.0,39,While We Were
16576,tt2392830,A Quiet Passion,2016,77,6.4,"5,098",A Quiet Passion
16581,tt2393941,Riding 79,2016,N/A,7.3,31,Riding 79
16583,tt2394029,The Man from Mo'Wax,2016,61,7.3,247,The Man from Mo'Wax
16587,tt2395207,Feast of Varanasi,2016,N/A,8.7,7,Feast of Varanasi
16588,tt2395242,I Was There,2016,N/A,N/A,N/A,I Was There
16590,tt2395339,Mothers and Daughters,2016,29,5.0,"2,813",Mothers and Daughters
16596,tt2396545,Juhannustyttö,2016,N/A,N/A,N/A,Juhannustyttö
16599,tt2396653,Second Impression,2016,N/A,N/A,N/A,Second Impression
16601,tt2396688,Glutnester,2016,N/A,N/A,N/A,Glutnester
16604,tt2397902,H.O.M.E.,2016,N/A,N/A,N/A,H.O.M.E.
16612,tt2400281,Alone: The Only Thing to Fear Is Yourself,2016,N/A,5.4,7,Alone: The Only Thing to Fear Is Yourself
16614,tt2400401,Multitudes,2016,N/A,7.3,10,Multitudes
16619,tt2401585,Achcham Yenbadhu Madamaiyada,2016,N/A,6.6,"1,494",Achcham Yenbadhu Madamaiyada
16632,tt2403884,Date with a Hammer,2016,N/A,N/A,N/A,Date with a Hammer
16633,tt2403945,Expendable Assets,2016,N/A,5.5,29,Expendable Assets
16634,tt2404076,All She Wrote Anthology,2016,N/A,N/A,N/A,All She Wrote
16635,tt2404203,Daimonion,2016,N/A,7.1,9,Daimonion
16636,tt2404233,Gods of Egypt,2016,25,5.4,"103,844",Gods of Egypt
16639,tt2404435,The Magnificent Seven,2016,54,6.9,"182,188",The Magnificent Seven
16648,tt2409518,The Otherworld,2016,N/A,4.2,19,The Otherworld
16649,tt2410290,Nobody's Perfect,2016,N/A,8.8,187,Nobody's Perfect
16651,tt2411144,The Queen of Spain,2016,46,5.1,"1,691",The Queen of Spain
16652,tt2413014,Deceived,2016,N/A,2.7,25,Deceived
16654,tt2413958,The Umbrella Man,2016,N/A,7.4,19,The Umbrella Man
16665,tt2421910,The Guest House,2016,N/A,3.7,188,The Guest House
16667,tt2424812,Restless Sea,2016,N/A,6.8,14,Restless Sea
16669,tt2425866,American Conjuring,2016,N/A,2.4,616,American Conjuring
16674,tt2428822,Beyond What Remains,2016,N/A,N/A,N/A,Beyond What Remains
16678,tt2431448,Mouthpiece,2016,N/A,4.0,46,Mouthpiece
16686,tt2435486,Indians & Cowboys,2016,N/A,N/A,N/A,Indians & Cowboys
16689,tt2436682,The Duel,2016,42,5.8,"9,671",The Duel
16690,tt2436706,Looking for the Jackalope,2016,N/A,8.1,20,Looking for the Jackalope
16691,tt2441982,The Visitors: Bastille Day,2016,N/A,4.5,"3,464",The Visitors: Bastille Day
16694,tt2442620,Paradox,2016,N/A,5.9,110,Paradox
16704,tt2446990,Lot Lizard,2016,N/A,7.4,9,Lot Lizard
16706,tt2447952,Ares 11,2016,N/A,4.1,68,Ares 11
16713,tt2451902,Cruiser,2016,N/A,6.3,10,Cruiser
16716,tt2452386,The Fundamentals of Caring,2016,55,7.3,"56,050",The Fundamentals of Caring
16719,tt2457330,Strait & Narrow,2016,N/A,6.2,9,Strait & Narrow
16727,tt2460594,The American Gandhi,2016,N/A,6.5,36,The American Gandhi
16728,tt2461030,Deserted,2016,N/A,4.8,457,Deserted
16729,tt2461150,Masterminds,2016,47,5.8,"49,482",Masterminds
16737,tt2462486,Terror House,2016,N/A,N/A,N/A,Terror House
16743,tt2464690,The Rack Pack,2016,N/A,7.1,"1,107",The Rack Pack
16749,tt2469200,The Conduit,2016,N/A,3.4,191,The Conduit
16751,tt2470100,Oggi a te... domani a me,2016,N/A,N/A,N/A,Oggi a te... domani a me
16753,tt2471266,Together Alone,2016,N/A,N/A,N/A,Together Alone
16762,tt2474838,The Name of the Game,2016,N/A,4.2,19,The Name of the Game
16763,tt2474932,Despite the Falling Snow,2016,33,5.8,"2,408",Despite the Falling Snow
16778,tt2484254,Beautiful Prison,2016,N/A,4.8,585,Beautiful Prison
16791,tt2489736,Hello Destroyer,2016,N/A,6.4,277,Hello Destroyer
16794,tt2492104,Unbroken Glass,2016,N/A,6.2,11,Unbroken Glass
16803,tt2495980,It's a Fairy!,2016,N/A,1.7,"2,549",It's a Fairy!
16806,tt2496758,In My Father's Garden,2016,N/A,5.8,521,In My Father's Garden
16812,tt2499358,Happy Log,2016,N/A,4.5,40,Happy Log
16821,tt2505568,Spray Paint Beijing,2016,N/A,N/A,N/A,Spray Paint Beijing
16823,tt2507306,The Lost City of Cecil B. DeMille,2016,N/A,N/A,N/A,The Lost City
16829,tt2511194,Fail,2016,N/A,N/A,N/A,Fail
16832,tt2513074,Billy Lynn's Long Halftime Walk,2016,53,6.2,"20,818",Billy Lynn's Long Halftime Walk
16833,tt2513294,Andre Norton: The Grand Dame of Science Fiction & Fantasy,2016,N/A,N/A,N/A,Andre Norton: The Grand Dame of Science Fiction & Fantasy
16836,tt2515134,The North Star,2016,N/A,5.1,74,The North Star
16838,tt2515180,The Origin of Violence,2016,N/A,6.8,45,The Origin of Violence
16839,tt2515456,Destined,2016,N/A,4.6,132,Destined
16840,tt2516200,Half the Perfect World,2016,N/A,N/A,N/A,Half the Perfect World
16841,tt2516326,Erasing Eden,2016,N/A,5.2,368,Erasing Eden
16844,tt2516720,Susie Q,2016,N/A,7.4,111,Susie Q
16845,tt2516966,1974: La posesión de Altair,2016,N/A,5.5,378,1974: La posesión de Altair
16846,tt2517438,Tales of Fear,2016,N/A,N/A,N/A,Tales of Fear
16847,tt2518190,Warrior Road,2016,N/A,6.3,77,Warrior Road
16854,tt2520348,For 20,2016,N/A,N/A,N/A,For 20
16855,tt2520484,Oranges,2016,N/A,N/A,N/A,Oranges
16858,tt2523426,Ditch Day Massacre,2016,N/A,3.4,302,Ditch Day Massacre
16863,tt2525158,Hustle vs. Heartache,2016,N/A,N/A,N/A,Hustle vs. Heartache
16865,tt2525478,Year After Year,2016,N/A,N/A,N/A,Year After Year
16869,tt2529940,Convention of the Dead,2016,N/A,6.2,12,Convention of the Dead
16871,tt2530452,Don't You Recognise Me?,2016,N/A,4.5,17,Don't You Recognise Me?
16874,tt2531318,The Beatles: Eight Days a Week - The Touring Years,2016,72,7.8,"11,052",The Beatles: Eight Days a Week - The Touring Years
16877,tt2531904,Pony!,2016,N/A,N/A,N/A,Pony!
16882,tt2535394,Medal of Victory,2016,N/A,4.1,171,Medal of Victory
16883,tt2536136,Supernal Darkness/Protege Project,2016,N/A,N/A,N/A,Supernal Darkness/Protege Project
16884,tt2536884,Passfire,2016,N/A,N/A,N/A,Passfire
16887,tt2538222,You're Killing Me Susana,2016,50,6.5,"1,523",You're Killing Me Susana
16890,tt2540136,Paradise Club,2016,N/A,6.2,21,Paradise Club
16891,tt2543164,Arrival,2016,81,7.9,"578,940",Arrival
